Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)",Overall_Cluster
L001_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L002_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L003_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L004_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L005_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L006_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L007_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L008_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L009_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L010_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L011_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L012_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L013_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L014_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L015_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L016_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L017_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L018_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L019_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L020_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L021_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L022_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L023_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L024_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L025 BW_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L026-BW_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L027_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L028_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L029_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L030_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L031_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L032_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L033_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L034_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
L035_S5,1,1,4,4,4,2,2,1,2,1,5,2,5,0,2,1
