Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)"
L019_S5,-0.4132574192405933,-0.4087347703127389,-0.40188479551955675,-0.3950521074390758,-0.38832627522579144,-0.37969560342047104,-0.36099783654065115,-0.27305215634868946,-0.38167723918517427,-0.37849812737864047,-0.3737065994831319,-0.371921890264255,-0.3704934795572268,-0.36877793706563283,-0.36655957807950074
L020_S5,-0.4103956335714234,-0.405586311039261,-0.398731670056351,-0.3926782198762336,-0.3872137140204733,-0.3797380922311819,-0.36553293415129845,-0.2995417458102121,-0.3807973731136183,-0.3768500841385555,-0.3727298303392666,-0.3717884617199118,-0.37075894634202444,-0.3690934398925316,-0.3669648642548188
L021_S5,-0.4194145015198863,-0.41608971017233287,-0.4110266294297111,-0.40577098952939844,-0.39988323688133826,-0.39270044786805597,-0.37819139669103097,-0.3070973180003101,-0.39282330073163996,-0.3895142082608185,-0.3837862475695381,-0.3803839443368583,-0.37716818389194856,-0.3735971477155402,-0.3693950885399674
L022_S5,-0.42112196206562186,-0.41674811582929017,-0.4115635973303758,-0.4057016789436221,-0.4005999018762662,-0.39435587730075305,-0.381185529893254,-0.3200442961638726,-0.3926104959143334,-0.3885409161558494,-0.38323771711436255,-0.3812413608999155,-0.37928648463964665,-0.3769141087607438,-0.37450856107607083
L023_S5,-0.44302244403547497,-0.4401654103617386,-0.4372167481993423,-0.43415973908109595,-0.4327164543639289,-0.43299945064230144,-0.4319185285480107,-0.41553959274729363,-0.43036125202445485,-0.4256732639943073,-0.42068133624097487,-0.41785683782892513,-0.4152269614516351,-0.4125484425014693,-0.4091056698873399
L024_S5,-0.44931550969954814,-0.4460142472810428,-0.4420548111448665,-0.43654229046716025,-0.4340957601374418,-0.43356569575427534,-0.43241881217962586,-0.4167644913289152,-0.4271732721651889,-0.42080518536122385,-0.4140981688337581,-0.4096837473493964,-0.40483261725507047,-0.3993239324438673,-0.39570435630016465
L025 BW_S5,-0.46557932700554505,-0.4625493737936846,-0.46041608063852696,-0.4580233737639157,-0.454874824348452,-0.4516667462096254,-0.4473629881346044,-0.4284407529774409,-0.4452002956312563,-0.44209301733624357,-0.43847810212000476,-0.4360560175665235,-0.4336582737470147,-0.4305526303246443,-0.42737116396171204
L026-BW_S5,-0.4660527127736142,-0.4629270425941337,-0.46156048232715297,-0.45932554639419015,-0.4563258810342956,-0.4531652938796977,-0.4487957217422406,-0.42919723630361545,-0.4461751053905338,-0.442805794014945,-0.43905389870891715,-0.436502884762371,-0.43359772869083285,-0.42990261847645517,-0.42581122269759647
L027_S5,-0.4196547729140467,-0.41176983750085183,-0.40068598346225875,-0.3907643813264824,-0.38278541653709014,-0.37282058701044457,-0.35176718726504114,-0.2410731885241655,-0.383578568379802,-0.3806680105253797,-0.3754123367319015,-0.3739943750506502,-0.37159959116055025,-0.3679804371489657,-0.3645861404228875
L028_S5,-0.38702489515560157,-0.3833642056646504,-0.37596672859328556,-0.36913601303495197,-0.3623777688134395,-0.3536352547894534,-0.33444950228019105,-0.246715130856943,-0.35332427119933824,-0.34921522260120563,-0.3423746040391117,-0.33842974659809466,-0.3343962065741006,-0.3296054101769867,-0.32493228421239195
