Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)",Overall_Cluster
L082_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L083_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L084_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L085_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L086_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L087_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L088_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L089_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L090_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L091_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L092_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L093_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L094_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L095_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L096_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L097_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L098_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L099_S5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L100_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L101_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L102_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L103_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L104_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L105_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L106_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
